# Sech² Hyperbolic Analysis
move_index,gamma,shift_unified_value,hyperbolic_coherence,bit_size_shift,sech2_error_rate,bit_size_energy,sech2_bit_coupling
116,265.557852,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,-0.00000000
117,266.614974,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
118,267.921915,0.00000000,0.90000000,0.00000001,-0.00000000,-0.000000000000,-0.00000000
119,269.970449,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
120,271.494056,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
121,273.459609,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,-0.00000000
122,275.587493,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
123,276.452050,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
124,278.250744,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
125,279.229251,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
126,282.465115,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
127,283.211186,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
128,284.835964,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
129,286.667445,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
130,287.911921,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
131,289.579855,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
132,291.846291,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
133,293.558434,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
134,294.965370,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
135,295.573255,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
136,297.979277,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
137,299.840326,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
138,301.649325,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
139,302.696750,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
140,304.864371,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,-0.00000000
141,305.728913,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,-0.00000000
142,307.219496,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,-0.00000000
143,310.109463,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
144,311.165142,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,-0.00000000
145,312.427801,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
146,313.985286,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
147,315.475616,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,-0.00000000
148,317.734806,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
149,318.853104,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
150,321.160134,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
151,322.144559,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
152,323.466970,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
153,324.862866,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
154,327.443901,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,-0.00000000
155,329.033072,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
156,329.953240,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
157,331.474468,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
158,333.645379,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
159,334.211355,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
160,336.841850,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,0.00000000
161,338.339993,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
162,339.858217,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
163,341.042261,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
164,342.054878,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,0.00000000
165,344.661703,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
166,346.347871,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,0.00000000
167,347.272678,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,0.00000000
168,349.316261,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
169,350.408419,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
170,351.878649,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
171,353.488900,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,0.00000000
172,356.017575,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
173,357.151302,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
174,357.952685,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
175,359.743755,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
176,361.289362,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,0.00000000
177,363.331331,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
178,364.736024,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
179,366.212710,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
180,367.993575,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
181,368.968438,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
182,370.050919,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
183,373.061928,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
184,373.864874,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
185,375.825913,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
186,376.324092,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
187,378.436680,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
188,379.872975,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
189,381.484469,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
190,383.443529,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
191,384.956117,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
192,385.861301,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
193,387.222890,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
194,388.846128,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
195,391.456084,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
196,392.245083,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
197,393.427744,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
198,395.582870,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
199,396.381854,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
200,397.918736,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
201,399.985120,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
202,401.839229,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
203,402.861918,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
204,404.236442,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
205,405.134387,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
206,407.581460,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
207,408.947246,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
208,410.513869,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
209,411.972268,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
210,413.262736,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
211,415.018810,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
212,415.455215,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
213,418.387706,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
214,419.861365,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
215,420.643828,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
216,422.076710,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
217,423.716580,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
218,425.069882,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
219,427.208825,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
220,428.127914,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
221,430.328745,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
222,431.301307,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
223,432.138642,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
224,433.889218,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
225,436.161006,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
226,437.581698,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
227,438.621739,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
228,439.918442,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
229,441.683199,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
230,442.904546,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
231,444.319336,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
232,446.860623,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
233,447.441704,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
234,449.148546,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
235,450.126946,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
236,451.403308,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
237,453.986738,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
238,454.974684,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
239,456.328427,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
240,457.903893,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
241,459.513415,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
242,460.087944,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
243,462.065367,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
244,464.057287,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
245,465.671539,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
246,466.570287,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
247,467.439046,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
248,469.536005,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
249,470.773655,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
250,472.799175,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
251,473.835232,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
252,475.600339,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
253,476.769015,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
254,478.075264,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
255,478.942182,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
256,481.830339,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
257,482.834783,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
258,483.851427,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
259,485.539148,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
260,486.528718,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
261,488.380567,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
262,489.661762,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
263,491.398822,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
264,493.314442,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
265,493.957998,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
266,495.358829,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
267,496.429696,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
268,498.580782,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
269,500.309085,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
270,501.604447,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
271,502.276270,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
272,504.499773,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
273,505.415232,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
274,506.464153,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
275,508.800700,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
276,510.264228,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
277,511.562290,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
278,512.623145,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
279,513.668986,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
280,515.435057,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
281,517.589669,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
282,518.234223,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
283,520.106310,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
284,521.525193,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
285,522.456696,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
286,523.960531,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
287,525.077386,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
288,527.903642,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
289,528.406214,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
290,529.806226,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
291,530.866918,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
292,532.688183,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
293,533.779631,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
294,535.664314,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
295,537.069759,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
296,538.428526,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
297,540.213166,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
298,540.631390,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
299,541.847437,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
300,544.323890,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
301,545.636833,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
302,547.010912,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
303,547.931613,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
304,549.497568,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
305,550.970010,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
306,552.049572,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
307,553.764972,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
308,555.792021,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
309,556.899476,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
310,557.564659,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
311,559.316237,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
